t 1 2 3 4 jOP1 jV0200 
0.0001338 7.17776 0.109943 -3.48118 -3.48118 0.00034767 -0.000706782 
0.0001344 7.58198 0.533434 -3.25966 -3.25966 0.000325546 -0.000704855 
0.000135 7.95896 0.955009 -3.02642 -3.02642 0.000302252 -0.000700395 
0.0001356 8.30736 1.37315 -2.78231 -2.78231 0.000277874 -0.00069342 
0.0001362 8.62591 1.78637 -2.52821 -2.52821 0.000252497 -0.000683955 
0.0001368 8.91349 2.19316 -2.26503 -2.26503 0.000226213 -0.000672032 
0.0001374 9.16904 2.59208 -1.99371 -1.99371 0.000199117 -0.000657696 
0.000138 9.39166 2.98169 -1.71523 -1.71523 0.000171306 -0.000640997 
0.0001386 9.58055 3.36059 -1.43059 -1.43059 0.000142879 -0.000621996 
0.0001392 9.73502 3.72741 -1.1408 -1.1408 0.000113939 -0.000600761 
0.0001398 9.85453 4.08085 -0.846924 -0.846924 8.45901e-005 -0.000577368 
0.0001404 9.93864 4.41963 -0.550002 -0.550002 5.49372e-005 -0.000551901 
0.000141 9.98705 4.74254 -0.251104 -0.251104 2.50871e-005 -0.000524451 
0.0001416 9.99959 5.04841 0.0486971 0.0486971 -4.85316e-006 -0.000495118 
0.0001422 9.97621 5.33615 0.348323 0.348323 -3.47759e-005 -0.000464006 
0.0001428 9.917 5.60472 0.646699 0.646699 -6.45737e-005 -0.000431228 
0.0001434 9.82217 5.85316 0.942751 0.942751 -9.41396e-005 -0.000396901 
0.000144 9.69205 6.08057 1.23542 1.23542 -0.000123367 -0.000361148 
0.0001446 9.52712 6.28614 1.52365 1.52365 -0.000152152 -0.000324098 
0.0001452 9.32798 6.46914 1.8064 1.8064 -0.00018039 -0.000285884 
0.0001458 9.09532 6.6289 2.08267 2.08267 -0.00020798 -0.000246643 
0.0001464 8.83 6.76484 2.35146 2.35146 -0.000234823 -0.000206516 
0.000147 8.53296 6.87649 2.6118 2.6118 -0.000260822 -0.000165647 
0.0001476 8.20527 6.96344 2.86276 2.86276 -0.000285885 -0.000124183 
0.0001482 7.84811 7.02538 3.10344 3.10344 -0.000309921 -8.22731e-005 
0.0001488 7.46276 7.06208 3.33297 3.33297 -0.000332843 -4.00677e-005 
0.0001494 7.0506 7.07342 3.55053 3.55053 -0.00035457 2.2816e-006 
0.00015 6.61312 7.05935 3.75534 3.75534 -0.000375023 4.46227e-005 
0.0001506 6.15188 7.01992 3.94666 3.94666 -0.000394129 8.68035e-005 
0.0001512 5.66855 6.95528 4.1238 4.1238 -0.00041182 0.000128673 
0.0001518 5.16486 6.86565 4.28613 4.28613 -0.000428031 0.000170079 
0.0001524 4.64261 6.75136 4.43306 4.43306 -0.000442705 0.000210875 
0.000153 4.10369 6.61283 4.56408 4.56408 -0.000455789 0.000250914 
0.0001536 3.55003 6.45054 4.67869 4.67869 -0.000467235 0.000290051 
0.0001542 2.98361 6.26508 4.77651 4.77651 -0.000477004 0.000328147 
0.0001548 2.40648 6.05711 4.85716 4.85716 -0.000485058 0.000365063 
0.0001554 1.82071 5.82739 4.92037 4.92037 -0.000491371 0.000400669 
0.000156 1.22839 5.57674 4.96591 4.96591 -0.000495919 0.000434835 
0.0001566 0.631668 5.30606 4.99361 4.99361 -0.000498685 0.000467439 
0.0001572 0.0326725 5.01632 5.00337 5.00337 -0.00049966 0.000498365 
0.0001578 -0.56644 4.70856 4.99516 4.99516 -0.00049884 0.0005275 
0.0001584 -1.16352 4.38389 4.96901 4.96901 -0.000496229 0.000554741 
0.000159 -1.75642 4.04347 4.92501 4.92501 -0.000491835 0.000579989 
0.0001596 -2.34301 3.68853 4.86332 4.86332 -0.000485674 0.000603153 
0.0001602 -2.92118 3.32034 4.78416 4.78416 -0.000477769 0.000624152 
0.0001608 -3.48886 2.94022 4.68782 4.68782 -0.000468148 0.000642908 
0.0001614 -4.04401 2.54954 4.57464 4.57464 -0.000456845 0.000659355 
0.000162 -4.58463 2.1497 4.44502 4.44502 -0.000443902 0.000673434 
0.0001626 -5.10879 1.74214 4.29944 4.29944 -0.000429363 0.000685093 
0.0001632 -5.6146 1.32833 4.13842 4.13842 -0.000413283 0.000694292 
0.0001638 -6.10023 0.909741 3.96254 3.96254 -0.000395718 0.000700998 
0.0001644 -6.56396 0.487887 3.77242 3.77242 -0.000376732 0.000705185 
0.000165 -7.00411 0.0642795 3.56875 3.56875 -0.000356392 0.000706839 
0.0001656 -7.4191 -0.359559 3.35226 3.35226 -0.000334773 0.000705954 
0.0001662 -7.80745 -0.782105 3.12373 3.12373 -0.000311951 0.000702534 
0.0001668 -8.16774 -1.20184 2.88398 2.88398 -0.000288008 0.00069659 
0.0001674 -8.49871 -1.61726 2.63387 2.63387 -0.000263031 0.000688144 
0.000168 -8.79914 -2.02687 2.3743 2.3743 -0.000237109 0.000677227 
0.0001686 -9.06797 -2.42921 2.1062 2.1062 -0.000210336 0.000663876 
0.0001692 -9.30423 -2.82281 1.83054 1.83054 -0.000182807 0.000648142 
